---Example Data---
NASDAQ 100,Last: 11706.4395,Change:  143.1395
"Date: December 12, 2022 at 8:31 PM EST",Bid: 0,Ask: 0,Size: 0*0,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon Dec 12 2022,NDXP221212C09950000,0,0,1652,1851,0,0.02,0,0,0,9950.00,NDXP221212P09950000,2,0,0,0.55,0,6.0551,0,0,4
Mon Dec 12 2022,NDXP221212C09975000,0,0,1629,1828.3,0,0.02,0,0,0,9975.00,NDXP221212P09975000,0,0,0,0.55,0,5.9683,0,0,0
Mon Dec 12 2022,NDXP221212C10000000,1567.86,-30.04,1606,1804.3,7,0.02,0,0,7,10000.00,NDXP221212P10000000,2.44,0,0,0.05,0,4.826,0,0,6
Mon Dec 12 2022,NDXP221212C10025000,0,0,1581,1779.3,0,0.02,0,0,0,10025.00,NDXP221212P10025000,5.6,0,0,0.05,0,4.753,0,0,2
Mon Dec 12 2022,NDXP221212C10050000,0,0,1555,1754,0,0.02,0,0,0,10050.00,NDXP221212P10050000,6.6,0,0,0.05,0,4.6666,0,0,1
Mon Dec 12 2022,NDXP221212C10075000,0,0,1527,1726,0,0.02,0,0,0,10075.00,NDXP221212P10075000,1.2,0,0,0.55,0,5.6268,0,0,3
Mon Dec 12 2022,NDXP221212C10100000,0,0,1505,1704,0,0.02,0,0,0,10100.00,NDXP221212P10100000,6.5,0,0,0.05,0,4.5461,0,0,16
Mon Dec 12 2022,NDXP221212C10125000,0,0,1479,1677.7,0,0.02,0,0,0,10125.00,NDXP221212P10125000,13.98,0,0,0.05,0,4.4673,0,0,1
Mon Dec 12 2022,NDXP221212C10150000,0,0,1454,1652.4,0,0.02,0,0,0,10150.00,NDXP221212P10150000,0.05,-0.275,0,0.05,6,4.3923,0,0,16
Mon Dec 12 2022,NDXP221212C10175000,0,0,1430,1629,0,0.02,0,0,0,10175.00,NDXP221212P10175000,14.4,0,0,0.05,0,4.3308,0,0,3
Mon Dec 12 2022,NDXP221212C10200000,0,0,1405,1604,0,0.02,0,0,0,10200.00,NDXP221212P10200000,30.61,0,0,0.05,0,4.2572,0,0,31
Mon Dec 12 2022,NDXP221212C10225000,0,0,1377,1576,0,0.02,0,0,0,10225.00,NDXP221212P10225000,0,0,0,0.55,0,5.1158,0,0,0
Mon Dec 12 2022,NDXP221212C10250000,0,0,1355,1554,0,0.02,0,0,0,10250.00,NDXP221212P10250000,5.08,0,0,0.55,0,5.036,0,0,2
Mon Dec 12 2022,NDXP221212C10275000,1295.13,-24.52,1329,1528.3,3,0.02,0,0,3,10275.00,NDXP221212P10275000,1.08,0,0,0.55,0,4.9497,0,0,0
Mon Dec 12 2022,NDXP221212C10300000,1277.88,-19.27,1305,1504,1,0.02,0,0,1,10300.00,NDXP221212P10300000,0.25,0,0,0.55,0,4.8651,0,0,10
Mon Dec 12 2022,NDXP221212C10325000,0,0,1280,1479,0,0.02,0,0,0,10325.00,NDXP221212P10325000,0,0,0,0.55,0,4.781,0,0,0
Mon Dec 12 2022,NDXP221212C10350000,0,0,1255,1454,0,0.02,0,0,0,10350.00,NDXP221212P10350000,6.61,0,0,0.55,0,4.6941,0,0,1
Mon Dec 12 2022,NDXP221212C10375000,1192.44,-27.21,1227,1426,3,0.02,0,0,3,10375.00,NDXP221212P10375000,0,0,0,0.55,0,4.6106,0,0,0
Mon Dec 12 2022,NDXP221212C10400000,0,0,1206,1404.3,0,0.02,0,0,0,10400.00,NDXP221212P10400000,7.52,0,0,0.55,0,4.5292,0,0,4
Mon Dec 12 2022,NDXP221212C10425000,0,0,1180,1379,0,0.02,0,0,0,10425.00,NDXP221212P10425000,0,0,0,0.55,0,4.4455,0,0,0
Mon Dec 12 2022,NDXP221212C10450000,0,0,1155,1354,0,0.02,0,0,0,10450.00,NDXP221212P10450000,0.89,0,0,0.55,0,4.3605,0,0,11
Mon Dec 12 2022,NDXP221212C10475000,0,0,1130,1329,0,0.02,0,0,0,10475.00,NDXP221212P10475000,1.58,0,0,0.55,0,4.2782,0,0,0
Mon Dec 12 2022,NDXP221212C10500000,0,0,1105,1304,0,0.02,0,0,0,10500.00,NDXP221212P10500000,9.99,0,0,0.55,0,4.1628,0,0,2
Mon Dec 12 2022,NDXP221212C10525000,0,0,1079,1277.4,0,0.02,0,0,0,10525.00,NDXP221212P10525000,0.75,0,0,0.55,0,4.1085,0,0,14
Mon Dec 12 2022,NDXP221212C10550000,0,0,1054,1252.7,0,0.02,0,0,0,10550.00,NDXP221212P10550000,1.6,0,0,0.55,0,4.0283,0,0,1
Mon Dec 12 2022,NDXP221212C10575000,0,0,1029,1228.4,0,0.02,0,0,0,10575.00,NDXP221212P10575000,0,0,0,0.55,0,3.9445,0,0,0
Mon Dec 12 2022,NDXP221212C10600000,0,0,1004,1203.4,0,0.02,0,0,0,10600.00,NDXP221212P10600000,53.9,0,0,0.55,0,3.8612,0,0,4
Mon Dec 12 2022,NDXP221212C10625000,0,0,979,1178.4,0,0.02,0,0,0,10625.00,NDXP221212P10625000,0,0,0,0.55,0,3.7772,0,0,0
Mon Dec 12 2022,NDXP221212C10650000,0,0,952,1150.7,0,0.02,0,0,0,10650.00,NDXP221212P10650000,1.41,0,0,0.55,0,3.695,0,0,1
Mon Dec 12 2022,NDXP221212C10675000,0,0,929,1127.9,0,0.02,0,0,0,10675.00,NDXP221212P10675000,41.7,0,0,0.55,0,3.6097,0,0,1
Mon Dec 12 2022,NDXP221212C10700000,1096.83,0,904,1102,0,0.02,0,0,1,10700.00,NDXP221212P10700000,2.25,0,0,0.55,0,3.531,0,0,7
Mon Dec 12 2022,NDXP221212C10725000,0,0,880,1079,0,0.02,0,0,0,10725.00,NDXP221212P10725000,1.25,0,0,0.55,0,3.4456,0,0,5
Mon Dec 12 2022,NDXP221212C10750000,0,0,852,1050.7,0,0.02,0,0,0,10750.00,NDXP221212P10750000,49.5,0,0,0.55,0,3.3608,0,0,1
Mon Dec 12 2022,NDXP221212C10775000,0,0,827,1026.4,0,0.02,0,0,0,10775.00,NDXP221212P10775000,0.6,0,0,0.05,0,2.6448,0,0,3
Mon Dec 12 2022,NDXP221212C10800000,0,0,807,1006,0,0.02,0,0,0,10800.00,NDXP221212P10800000,0.2,-0.275,0,0.05,2,2.5626,0,0,12
Mon Dec 12 2022,NDXP221212C10825000,0,0,839.5,923.8,0,0.02,0,0,0,10825.00,NDXP221212P10825000,3.5,0,0,0.55,0,3.1127,0,0,6
Mon Dec 12 2022,NDXP221212C10850000,983.89,0,827.4,886.7,0,0.02,0,0,1,10850.00,NDXP221212P10850000,4.15,0,0,0.55,0,3.0317,0,0,3
Mon Dec 12 2022,NDXP221212C10875000,959.03,0,800,850,0,0.02,0,0,1,10875.00,NDXP221212P10875000,0.9,0,0,0.55,0,2.9477,0,0,5
Mon Dec 12 2022,NDXP221212C10900000,0,0,782,831,0,0.02,0,0,0,10900.00,NDXP221212P10900000,1.1,0,0,0.55,0,2.8647,0,0,108
Mon Dec 12 2022,NDXP221212C10925000,0,0,757,806,0,0.02,0,0,0,10925.00,NDXP221212P10925000,4.38,0,0,0.55,0,2.7818,0,0,14
Mon Dec 12 2022,NDXP221212C10950000,0,0,732,781,0,0.02,0,0,0,10950.00,NDXP221212P10950000,0.8,0,0,0.05,0,2.1679,0,0,27
Mon Dec 12 2022,NDXP221212C10975000,0,0,707,756,0,0.02,0,0,0,10975.00,NDXP221212P10975000,0.05,-0.55,0,0.05,1,2.0936,0,0,14
Mon Dec 12 2022,NDXP221212C11000000,625.98,0,682,731,0,0.02,0,0,3,11000.00,NDXP221212P11000000,0.62,0,0,0.55,0,2.5325,0,0,28
Mon Dec 12 2022,NDXP221212C11010000,0,0,672,721,0,0.02,0,0,0,11010.00,NDXP221212P11010000,0,0,0,0.55,0,2.4993,0,0,0
